Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7n,C_0805_2012Metric,-236.339261,-17.264077,90,bottom
C2,1uF,C_0805_2012Metric,-298.606499,-45.243788,0,bottom
C3,0.1uF,C_0805_2012Metric,-292.7,-37,180,bottom
C4,0.1uF,C_0805_2012Metric,-291.3,-54.7,270,bottom
C5,0.1uF,C_0805_2012Metric,-298.6,-42,0,bottom
C6,0.1uF,C_0805_2012Metric,-298.6,-47.3,0,bottom
C7,0.1uF,C_0805_2012Metric,-279.7,-49.7,270,bottom
C8,10uF,C_0805_2012Metric,-283.368988,-36.909406,0,bottom
C9,22,C_0805_2012Metric,-285.47,-58.28,90,bottom
C10,22,C_0805_2012Metric,-291.29,-58.27,270,bottom
D1,D_Small,D_SOD-123,-29.76565,-29.76565,90,bottom
D2,D_Small,D_SOD-123,-48.815666,-29.76565,90,bottom
D3,D_Small,D_SOD-123,-67.865682,-29.76565,90,bottom
D4,D_Small,D_SOD-123,-86.915698,-29.76565,90,bottom
D5,D_Small,D_SOD-123,-105.965714,-29.76565,90,bottom
D6,D_Small,D_SOD-123,-125.01573,-29.76565,90,bottom
D7,D_Small,D_SOD-123,-144.065746,-29.76565,90,bottom
D8,D_Small,D_SOD-123,-163.115762,-29.76565,90,bottom
D9,D_Small,D_SOD-123,-182.165778,-29.76565,90,bottom
D10,D_Small,D_SOD-123,-201.215794,-29.76565,90,bottom
D11,D_Small,D_SOD-123,-220.26581,-29.76565,90,bottom
D12,D_Small,D_SOD-123,-239.315826,-29.76565,90,bottom
D13,D_Small,D_SOD-123,-258.365842,-29.76565,90,bottom
D14,D_Small,D_SOD-123,-32.146902,-48.815666,90,bottom
D15,D_Small,D_SOD-123,-53.57817,-48.815666,90,bottom
D16,D_Small,D_SOD-123,-72.628186,-48.815666,90,bottom
D17,D_Small,D_SOD-123,-91.678202,-48.815666,90,bottom
D18,D_Small,D_SOD-123,-110.728218,-48.815666,90,bottom
D19,D_Small,D_SOD-123,-129.778234,-48.815666,90,bottom
D20,D_Small,D_SOD-123,-148.82825,-48.815666,90,bottom
D21,D_Small,D_SOD-123,-167.878266,-48.815666,90,bottom
D22,D_Small,D_SOD-123,-186.928282,-48.815666,90,bottom
D23,D_Small,D_SOD-123,-205.978298,-48.815666,90,bottom
D24,D_Small,D_SOD-123,-225.028314,-48.815666,90,bottom
D25,D_Small,D_SOD-123,-244.07833,-48.815666,90,bottom
D26,D_Small,D_SOD-123,-270.272102,-48.815666,90,bottom
D27,D_Small,D_SOD-123,-39.885971,-67.865682,90,bottom
D28,D_Small,D_SOD-123,-63.103178,-67.865682,90,bottom
D29,D_Small,D_SOD-123,-82.153194,-67.865682,90,bottom
D30,D_Small,D_SOD-123,-101.20321,-67.865682,90,bottom
D31,D_Small,D_SOD-123,-120.253226,-67.865682,90,bottom
D32,D_Small,D_SOD-123,-139.303242,-67.865682,90,bottom
D33,D_Small,D_SOD-123,-158.353258,-67.865682,90,bottom
D34,D_Small,D_SOD-123,-177.403274,-67.865682,90,bottom
D35,D_Small,D_SOD-123,-196.45329,-67.865682,90,bottom
D36,D_Small,D_SOD-123,-215.503306,-67.865682,90,bottom
D37,D_Small,D_SOD-123,-234.553322,-67.865682,90,bottom
D38,D_Small,D_SOD-123,-258.961155,-67.865682,90,bottom
D39,D_Small,D_SOD-123,-277.415858,-67.865682,90,bottom
D40,D_Small,D_SOD-123,-29.76565,-86.915698,90,bottom
D41,D_Small,D_SOD-123,-48.815666,-86.915698,90,bottom
D42,D_Small,D_SOD-123,-73.223499,-86.915698,90,bottom
D43,D_Small,D_SOD-123,-91.678202,-86.915698,90,bottom
D44,D_Small,D_SOD-123,-117.871974,-86.915698,90,bottom
D45,D_Small,D_SOD-123,-171.450144,-86.915698,90,bottom
D46,D_Small,D_SOD-123,-186.928282,-86.915698,90,bottom
D47,D_Small,D_SOD-123,-208.35955,-86.915698,90,bottom
D48,D_Small,D_SOD-123,-232.17207,-86.915698,90,bottom
D49,D_Small,D_SOD-123,-258.365842,-86.915698,90,bottom
D50,D_Small,D_SOD-123,-277.415858,-86.915698,90,bottom
D51,D_Small,D_SOD-123,-296.465874,-86.915698,90,bottom
D52,D_Small,D_SOD-123,-265.509598,-29.76565,90,bottom
F1,500 mA,Fuse_1206_3216Metric,-253.008025,-17.264077,180,bottom
R1,5.1k,R_0805_2012Metric,-241.9,-22.5875,90,bottom
R2,10k,R_0805_2012Metric,-258.55,-46.65,90,bottom
R3,5.1k,R_0805_2012Metric,-248.6,-22.4875,90,bottom
R4,1M,R_0805_2012Metric,-238.720513,-17.264077,90,bottom
R5,22,R_0805_2012Metric,-246.459582,-24.407833,90,bottom
R6,22,R_0805_2012Metric,-244.07833,-24.407833,90,bottom
R7,10k,R_0805_2012Metric,-279.79711,-39.885971,270,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,-254.198651,-44.053162,270,bottom
U1,SRV05-4,SOT-23-6,-245.268956,-19.645329,180,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,-288.131492,-45.243788,180,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-245.268956,-11.310947,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-288.39,-58.68,90,bottom
